name,wikipedia__en,state,group,term,source,id,name__es,wikipedia__es,name__en,gender,birth_date,given_name,identifier__viaf,image,death_date,family_name,identifier__freebase
Rocío Abreu Artiñano,Rocío Abreu Artiñano,Campeche,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146067,,"",Rocío Abreu Artiñano,female,1974-05-29,Rocío,,,,,
Hugo Jarquín,Hugo Jarquín,Oaxaca,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190609,,"",Hugo Jarquín,male,1966-06-01,Hugo,,,,,
Rafael Acosta Croda,Rafael Acosta Croda,Veracruz,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16143384,Rafael Acosta Croda,Rafael Acosta Croda,Rafael Acosta Croda,male,1957-05-27,Rafael,,,,,
Blanca Jiménez Castillo,Blanca Jiménez Castillo,Puebla,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16196079,,"",Blanca Jiménez Castillo,female,1965-09-26,Blanca,,,,,
Miguel Ángel Aguayo,Miguel Ángel Aguayo,Colima,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146526,,"",Miguel Ángel Aguayo,male,1951-08-20,Miguel,,,,,
María Teresa Jiménez Esquivel,María Teresa Jiménez Esquivel,Aguascalientes,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16223183,,"",María Teresa Jiménez Esquivel,female,1984-05-25,María,,,,,
Claudia Elena Aguila,Claudia Elena Aguila,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146538,,"",Claudia Elena Aguila,female,1972-10-29,Claudia,,,,,
Víctor Manuel Jorrín,Víctor Manuel Jorrín,Guerrero,MC,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186732,,"",Víctor Manuel Jorrín,male,1955-01-13,Victor,,,,,
Marcos Aguilar Vega,Marcos Aguilar Vega,Querétaro,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16147435,,"",Marcos Aguilar Vega,male,1972-07-05,Marcos,,,,,
Salomón Juan Marcos Issa,Salomón Juan Marcos Issa,Coahuila,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,,,,,,,,,,,,
Aleida Alavez Ruiz,Aleida Alavez Ruiz,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q5664630,Aleida Alavez Ruiz,Aleida Alavez Ruiz,Aleida Alavez Ruiz,female,1974-01-10,Aleida,,,,,
Raymundo King,Raymundo King,Quintana Roo,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215868,,"",Raymundo King,male,1976-12-18,Raymundo,,,,,
Leobardo Alcalá,Leobardo Alcalá,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16149263,,"",Leobardo Alcalá,male,1960-08-28,,,,,,
Fernando Larrazábal Bretón,Fernando Larrazábal Bretón,Nuevo León,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q1406714,Fernando Larrazábal Bretón,"",Fernando Larrazábal Bretón,male,1962-08-11,Fernando,,,,,
Edilberto Algredo Jaramillo,Edilberto Algredo Jaramillo,Tlaxcala,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146233,,"",Edilberto Algredo Jaramillo,male,1957-02-13,,,,,,
Gerardo Liceaga Arteaga,Gerardo Liceaga Arteaga,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q8963888,Gerardo Liceaga Arteaga,Gerardo Liceaga Arteaga,Gerardo Liceaga Arteaga,male,1960-10-03,Gerardo,,,,,
