id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
abel_guerra_garza,Abel Guerra Garza,,,PRI,pri,,Chamber of Deputies,62,,,,
Q16213752,Abel Salgado Peña,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16194211,Abraham Montes Alvarado,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16213875,Adolfo Bonilla Gómez,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q5658088,Adolfo Orive Bellinger,,,PT,pt,,Chamber of Deputies,62,,,,male
Q16195540,Adriana Fuentes Téllez,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q5658341,Adriana González Carrillo,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16217335,Adriana Hernández Íñiguez,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16217424,Adriana López Moreno,,,PVEM,pvem,,Chamber of Deputies,62,,,,female
Q16196677,Adán David Ruiz,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16190119,Agustín Barrios Gómez,,,PRD,prd,,Chamber of Deputies,62,,,,male
alberto_anaya_gutiérrez,Alberto Anaya Gutiérrez,,,PAN,pan,,Chamber of Deputies,62,,,,
Q16195014,Alberto Coronado Quintanilla,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16187033,Alberto Curi Naime,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16215237,Alberto Díaz Trujillo,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q5664630,Aleida Alavez Ruiz,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16213395,Alejandra López Noriega,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16190235,Alejandro Carbajal González,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q5665275,Alejandro Moreno Cárdenas,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16194765,Alejandro Rangel Segovia,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q5665530,Alejandro Sánchez Camacho,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16190495,Alfa González Magallanes,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q4722024,Alfonso Durazo,,,MRN,mrn,,Chamber of Deputies,62,,,,male
Q16144304,Alfonso Inzunza Montoya,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16144498,Alfredo Anaya Gudiño,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16213727,Alfredo Rivadeneyra Hernández,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q15379151,Alfredo Zamora García,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q5399354,Alicia Ricalde Magaña,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16197535,Alliet Mariana Bautista,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16146032,Alma Arroyo Ruiz,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16196319,Alma Marina Vitela,,,PRI,pri,,Chamber of Deputies,62,,,,female
amalia_garcía_medina,Amalia García Medina,,,PRD,prd,,Chamber of Deputies,62,,,,
Q16186253,Amira Griselda Gómez,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16195850,Amílcar Villafuerte Trujillo,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
ana_lilia_garza_cadenas,Ana Lilia Garza Cadenas,,,PVEM,pvem,,Chamber of Deputies,62,,,,
Q5675721,Andrés Eloy Martínez,,,MRN,mrn,,Chamber of Deputies,62,,,,male
Q16213738,Andrés de la Rosa Anaya,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16202094,Angelina Carreño Mijares,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16190824,Angélica Melchor Vásquez,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16146386,Antonio Astiazarán,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16198383,Antonio Cuéllar Steffan,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
Q15303988,Antonio García Conejo,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16191209,Antonio Sansores Sastré,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16192681,Antonio de Jesús Díaz,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16191382,Araceli Torres Flores,,,PT,pt,,Chamber of Deputies,62,,,,female
Q5703388,Areli Madrid Tovilla,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16190306,Armando Contreras Ceballos,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q4795351,Arnoldo Ochoa González,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16186201,Arturo Cruz Ramírez,,,PRD,prd,,Chamber of Deputies,62,,,,male
arturo_de_la_rosa_escalante,Arturo De la Rosa Escalante,,,PAN,pan,,Chamber of Deputies,62,,,,
Q4801730,Arturo Escobar y Vega,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
Q16146542,Aurora Aguilar Rodríguez,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16218887,Aurora Ugalde,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16217678,Aída Valencia,,,MRN,mrn,,Chamber of Deputies,62,,,,female
Q15379160,Beatriz Yamamoto Cázarez,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16195928,Benito Caballero Garza,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16193044,Benjamín Castillo Valdez,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16194554,Blanca Estela Gómez Carmona,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16196079,Blanca Jiménez Castillo,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q15379178,Blanca María Villaseñor,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16145714,Blas Ramón Rubio Lara,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16146176,Brasil Acosta Peña,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16146888,Brenda María Alvarado Sánchez,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16216746,Bárbara Romo Fonseca,,,PVEM,pvem,,Chamber of Deputies,62,,,,female
Q16206521,Carla Padilla Ramos,,,PVEM,pvem,,Chamber of Deputies,62,,,,female
Q16222415,Carla Reyes Montiel,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16213521,Carlos Alberto García González,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16190856,Carlos Augusto Morales López,,,PRD,prd,,Chamber of Deputies,62,,,,male
carlos_de_jesús_alejandro,Carlos De Jesús Alejandro,,,PRD,prd,,Chamber of Deputies,62,,,,
Q16144531,Carlos Fernando Angulo Parra,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16105261,Carlos Humberto Aceves,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16216503,Carlos Humberto Castaños,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16216504,Carlos Octavio Castellanos,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
Q16213009,Carlos Sánchez Romero,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16204591,Carmen Pérez Camarena,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16146579,Carol Antonio Altamirano,,,PRD,prd,,Chamber of Deputies,62,,,,male
